-103.59，225.362，286.747,101.413，225.362，-289.966,-103.59，225.362，-289.966
-103.59，9.7845，286.747,101.413，225.362，286.747,-103.59，225.362，286.747
101.413，9.7845，286.747,101.413，225.362，-289.966,101.413，225.362，286.747
101.413，8.87，-289.966,-103.59，225.362，-289.966,101.413，225.362，-289.966
-103.59，8.87，-289.966,-103.59，225.362，286.747,-103.59，225.362，-289.966
-93.9394，240.385，292.598,93.0929，240.385，292.598,-93.9394，240.385，287.921
93.0929，239.992，292.991,93.0929，240.385，292.598,-93.9394，239.992，292.991
-77.7106，238.3，293.982,-77.7107，238.3，293.386,-77.7106，239.663，293.982
-87.6136，239.663，295.44,-87.1263，238.3，294.263,-87.1263，239.663，294.263
-87.1263，239.663，294.263,-87.6136，239.663，293.087,-87.6136，239.663，295.44
-87.6136，239.663，293.087,-88.7899，239.663，292.599,-89.9663，239.663，293.087
-89.9663，239.663，293.087,-90.4536，239.663，294.263,-89.9663，239.663，295.44
-89.9663，239.663，295.44,-88.7899，239.663，295.927,-87.6136，239.663，295.44
-89.9663，239.663，293.087,-89.9663，239.663，295.44,-87.6136，239.663，295.44
-87.6136，239.663，293.087,-89.9663，239.663，293.087,-87.6136，239.663，295.44
-87.1263，238.3，294.263,-77.7106，238.3，293.982,-78.1264，238.3，294.273
-87.6136，239.663，293.087,-77.7107，239.663，293.386,-78.1265，239.663，293.095
-87.1263，239.663，294.263,-78.1264，238.3，294.273,-78.1264，239.663，294.273
-77.7106，239.663，293.982,-78.1264，239.663，294.273,-77.7106，238.3，293.982
-78.2366，230.682，293.974,-78.2367，230.682，293.418,-78.2367，231.956，293.418
-87.0352，231.956，294.237,-78.6253，231.956，293.146,-87.4905，231.956，293.138
-87.4905，230.682，293.138,-78.6252，230.682，294.246,-87.0352，230.682，294.237
-87.0352，230.682，294.237,-78.6252，231.956，294.246,-87.0352，231.956，294.237
-78.2366，231.956，293.974,-78.6252，231.956，294.246,-78.6252，230.682，294.246
-86.6709，232.028，293.999,-80.95，238.245，294.009,-86.6709，238.245，293.999
-87.6136，238.3，293.087,-87.1263，230.639，294.263,-87.6136，230.639，293.087
-90.4536，239.663，294.263,-89.9663，230.639，293.087,-90.4536，230.639，294.263
-89.9663，239.663，295.44,-90.4536，230.639，294.263,-89.9663，230.639，295.44
-88.7899，239.663，295.927,-89.9663，230.639，295.44,-88.7899，230.639，295.927
-87.6136，239.663，295.44,-88.7899，230.639，295.927,-87.6136，230.639，295.44
-87.1263，238.3，294.263,-87.6136，230.639，295.44,-87.1263，230.639，294.263
-87.1263，230.639，294.263,-87.6136，230.639，295.44,-87.6136，230.639，293.087
-87.6136，230.639，295.44,-88.7899，230.639，295.927,-89.9663，230.639，295.44
-89.9663，230.639，295.44,-90.4536，230.639，294.263,-89.9663，230.639，293.087
-89.9663，230.639，293.087,-88.7899，230.639，292.599,-87.6136，230.639，293.087
-89.9663，230.639，295.44,-89.9663，230.639，293.087,-87.6136，230.639，293.087
-87.6136，230.639，295.44,-89.9663，230.639，295.44,-87.6136，230.639，293.087
-58.8634，233.255，296.218,-58.514，234.707，295.088,-58.8634，234.711，296.218
-63.4384，231.379，292.98,-59.6437，231.798，293.242,-63.2002，231.798，293.235
-63.4384，236.588，292.98,-63.2002，231.798，293.235,-63.2002，236.169，293.235
-63.2002，231.798，293.235,-59.6437，231.798，293.242,-62.7099，232.529，294.68
-59.6437，236.169，293.242,-63.2002，236.169，293.235,-62.7099，235.438，294.68
-63.2002，236.169，293.235,-62.7099，232.529，294.68,-62.7099，235.438，294.68
-62.7099，232.529，294.68,-59.4837，232.494，294.62,-60.8326，232.977，295.991
-59.6437，231.798，293.242,-59.4837，235.473，294.62,-59.4837，232.494，294.62
-59.6437，236.169，293.242,-60.8326，234.989，295.991,-59.4837，235.473，294.62
-62.7099，235.438，294.68,-60.8326，232.977，295.991,-60.8326，234.989，295.991
-60.8326，232.977，295.991,-58.514，233.26，295.088,-58.8634，233.255，296.218
-59.4837，232.494，294.62,-58.514，234.707，295.088,-58.514，233.26，295.088
-59.4837，235.473，294.62,-58.8634，234.711，296.218,-58.514，234.707，295.088
-60.8326，234.989，295.991,-58.8634，233.255，296.218,-58.8634，234.711，296.218
-57.1971，237.252，292.991,-59.6437，236.169，293.242,-57.1971，230.714，292.991
-57.1971，237.258，292.988,-63.4384，236.588，292.98,-57.1971，237.252，292.991
-55.5308，233.255，296.218,-55.8802，234.707，295.088,-55.8802，233.26，295.088
-50.9558，231.379，292.98,-54.7505，231.798，293.242,-57.1971，230.708，292.988
-50.9558，236.588，292.98,-51.194，231.798，293.235,-50.9558，231.379，292.98
-51.194，231.798，293.235,-51.6843，232.529，294.68,-54.7505，231.798，293.242
-54.7505，236.169，293.242,-51.6843，235.438，294.68,-51.194，236.169，293.235
-51.194，236.169，293.235,-51.6843，232.529，294.68,-51.194，231.798，293.235
-51.6843，232.529，294.68,-54.9105，232.494，294.62,-54.7505，231.798，293.242
-54.7505，231.798，293.242,-54.9105，235.473，294.62,-54.7505，236.169，293.242
-54.7505，236.169，293.242,-53.5616，234.989，295.991,-51.6843，235.438，294.68
-51.6843，235.438，294.68,-53.5616，232.977，295.991,-51.6843，232.529，294.68
-53.5616，232.977，295.991,-55.8802，233.26，295.088,-54.9105，232.494，294.62
-54.9105，232.494，294.62,-55.8802，234.707，295.088,-54.9105，235.473，294.62
-54.9105，235.473，294.62,-55.5308，234.711，296.218,-53.5616，234.989，295.991
-53.5616，234.989，295.991,-55.5308，233.255，296.218,-53.5616，232.977，295.991
-57.1971，230.714，292.991,-54.7505，231.798，293.242,-54.7505，236.169，293.242
-57.1971，237.258，292.988,-57.1971，237.252，292.991,-50.9558，236.588，292.98
-20.1005，233.255，296.218,-19.7512，234.707，295.088,-20.1005，234.711，296.218
-24.6755，231.379，292.98,-20.8808，231.798，293.242,-24.4374，231.798，293.235
-24.6755，236.588，292.98,-24.4374，231.798，293.235,-24.4374，236.169，293.235
-24.4374，231.798，293.235,-20.8808，231.798，293.242,-23.947，232.529，294.68
-20.8808，236.169，293.242,-24.4374，236.169，293.235,-23.947，235.438，294.68
-24.4374，236.169，293.235,-23.947，232.529，294.68,-23.947，235.438，294.68
-23.947，232.529，294.68,-20.7208，232.494，294.62,-22.0698，232.977，295.991
-20.8808，231.798，293.242,-20.7208，235.473，294.62,-20.7208，232.494，294.62
-20.8808，236.169，293.242,-22.0698，234.989，295.991,-20.7208，235.473，294.62
-23.947，235.438，294.68,-22.0698，232.977，295.991,-22.0698，234.989，295.991
-22.0698，232.977，295.991,-19.7512，233.26，295.088,-20.1005，233.255，296.218
-20.7208，232.494，294.62,-19.7512，234.707，295.088,-19.7512，233.26，295.088
-20.7208，235.473，294.62,-20.1005，234.711，296.218,-19.7512，234.707，295.088
-22.0698，234.989，295.991,-20.1005，233.255，296.218,-20.1005，234.711，296.218
-18.4342，237.252，292.991,-20.8808，236.169，293.242,-18.4342，230.714，292.991
-18.4342，237.258，292.988,-24.6755，236.588，292.98,-18.4342，237.252，292.991
-16.768，233.255，296.218,-17.1173，234.707，295.088,-17.1173，233.26，295.088
-12.1929，231.379，292.98,-15.9876，231.798，293.242,-18.4342，230.708，292.988
-12.1929，236.588，292.98,-12.4311，231.798，293.235,-12.1929，231.379，292.98
-12.4311，231.798，293.235,-12.9215，232.529，294.68,-15.9876，231.798，293.242
-15.9876，236.169，293.242,-12.9215，235.438，294.68,-12.4311，236.169，293.235
-12.4311，236.169，293.235,-12.9215，232.529，294.68,-12.4311，231.798，293.235
