0，0，0,1.08173，4.03256，-0.40763,1.12003，3.89027，-0.411092
1.11942，3.88646，-0.260576,2.94791，5.49107，-0.214817,3.08423，5.49155，-0.21422
3.08296，5.48449，0.078895,1.92788，3.60653，-0.311487,2.00001，3.60707，-0.310533
1.99903，3.599，0.027758,1.06051，4.32357，-0.400252,1.07696，4.46893，-0.245841
1.07759，4.47286，-0.396312,1.43055，3.6036，-0.313942,1.23908，3.71951，-0.264712
1.23915，3.72114，-0.311413,1.30764，4.96398，0.898174,1.63164，5.34606，0.908859
1.34715，4.88213，0.738144,2.04272，5.7176，0.079444,1.46771，5.14989，0.846506
1.72327，5.32567，0.750549,1.68835，5.44712，-0.636972,1.97775，5.7729，0.080673
1.34236，4.98466，-0.723638,1.32302，4.88416，-0.566745,2.00946，5.74515，0.080058
1.84283，5.23232，-0.636183,1.58753，4.74961，-0.712279,1.29292，4.9164，-0.606718
1.49704，4.82454，-0.647589,2.20592，5.64485，0.078047,2.29626，5.56841，0.076349
2.11479，5.3629，-0.312263,1.40389，4.52454，-0.33571,1.22025，4.29948，0.04086
1.13002，4.37605，0.042561,2.96301，5.88113，-0.204605,2.8357，5.83222，-0.206341
3.08423，5.49155，-0.21422,2.83487，5.82467，0.086891,3.08174，5.56655，-0.21237
2.83487，5.82467，0.086891,1.13002，4.37605，0.042561,3.08174，5.56655，-0.21237
3.08025，5.55893，0.080788,2.94736，5.48326，0.078492,1.11942，3.88646，-0.260576
2.89838，5.00214，-0.227246,1.43055，3.6036，-0.313942,1.17936，3.80307，-0.262867
1.12003，3.89027，-0.411092,2.89838，5.00214，-0.227246,1.23883，3.7124，0.028365
1.1192，3.87947，0.032295,2.28002，5.78436，-0.209099,2.12584，5.67256，-0.212393
2.1248，5.66535，0.080808,2.27944，5.7765，0.084081,1.1192，3.87947，0.032295
2.64175，5.86106，0.08727,2.1248，5.66535，0.080808,2.44933，5.90576，-0.205466
2.8357，5.83222，-0.206341,2.64175，5.86106，0.08727,2.44933，5.90576，-0.205466
2.64267，5.86899，-0.205906,1.42864，3.58636，0.360831,1.17936，3.80307，-0.262867
1.23743，3.70465，0.316502,1.12003，3.89027，-0.411092,1.23883，3.7124，0.028365
1.04299，4.16453，0.040755,1.23743，3.70465，0.316502,1.08091，4.02129，0.037087
1.5368，5.22512，0.071422,1.4456，5.06968，-0.229728,1.04647，4.17675，-0.402686
1.65416，5.3573，0.071653,1.04647，4.17675，-0.402686,1.42749，5.07359，0.069463
1.32248，4.93199，0.066913,1.24882，4.77499，-0.237824,1.68048，5.32308，-0.222585
1.4456，5.06968，-0.229728,1.32248，4.93199，0.066913,1.68048，5.32308，-0.222585
1.24929，4.76674，0.055338,1.06051，4.32357，-0.400252,1.16142，4.62248，-0.241971
1.24882，4.77499，-0.237824,1.16144，4.61451，0.051201,1.24929，4.76674，0.055338
1.07679，4.46104，0.047042,1.04299，4.16453，0.040755,1.08091，4.02129，0.037087
1.06051，4.32357，-0.400252,1.07679，4.46104，0.047042,1.16142，4.62248，-0.241971
1.0597，4.31217，0.044463,2.00163，5.57974，-0.215117,1.89384，5.49714，-0.217535
2.28002，5.78436，-0.209099,1.0597，4.31217，0.044463,2.12584，5.67256，-0.212393
1.89333，5.48923，0.075642,1.65416，5.3573，0.071653,1.42749，5.07359，0.069463
2.00163，5.57974，-0.215117,1.89333，5.48923，0.075642,1.89384，5.49714，-0.217535
2.00946，5.74515，0.080058,1.31244，5.0059，-0.780026,1.6374，5.38912，-0.769308
1.6617，5.36128，-0.713128,1.61465，4.02303，0.476194,1.65095，3.88753，0.472744
