8.84915，5.92512，1.11809,7.81225，6.0135，0.354384,8.8095，6.02023，-0.452149
11.7998，5.91185，1.07634,11.7982，5.70278，1.94955,10.9117，5.98864，0.664857
11.7982，5.70278，1.94955,8.84915，5.92512，1.11809,10.9117，5.98864，0.664857
10.9117，5.98864，0.664857,8.84915，5.92512，1.11809,8.8095，6.02023，-0.452149
11.7998，5.28058，2.87447,11.7982，5.70278，1.94955,11.7998，5.91185，1.07634
2.15361，0.594159，5.99992,2.09519，2.05782，6.03178,3.45633，1.67993，5.79194
4.50456，2.66278，5.3824,4.83145，4.13727，5.21853,5.05021，3.26843，5.0613
5.05021，3.26843，5.0613,4.83145，4.13727，5.21853,5.78121，3.97544，4.50105
7.1926，5.40188，-2.66603,6.64066，4.87083，-3.55531,8.85229，4.69073，-3.78125
10.9117，5.98864，0.664857,8.8095，6.02023，-0.452149,11.0019，5.99169，-0.632089
-1.59836，-8.84114，-4.97101,-1.94073，-9.99991，-4.72296,-0.645099，-9.99843，-5.52123
-3.98181，-8.86997，-1.68132,-4.19783，-8.77115，-0.561384,-4.16045，-9.99963，-0.859341
-3.97908，-5.76263，-1.72407,-4.19783，-8.77115，-0.561384,-3.98181，-8.86997，-1.68132
-3.98181，-8.86997，-1.68132,-4.16045，-9.99963，-0.859341,-3.86842，-9.99945，-2.01721
-3.86842，-9.99945，-2.01721,-3.56584，-8.84998，-2.72673,-3.98181，-8.86997，-1.68132
7.81828，-6.01565，-0.297058,8.93867，-5.98603，0.79465,8.70416，-5.99042，-0.735459
8.93867，-5.98603，0.79465,10.8488，-5.99731，0.635572,8.70416，-5.99042，-0.735459
8.80669，0.652656，16.7374,8.80878，-0.58711，18.9998,8.78305，-0.846449，16.5804
8.80669，0.652656，16.7374,8.75715，1.0128，18.9998,8.80878，-0.58711，18.9998
8.51179，2.07495，16.703,8.75715，1.0128，18.9998,8.80669，0.652656，16.7374
8.70416，-5.99042，-0.735459,10.8488，-5.99731，0.635572,10.9411，-5.99784，-0.631741
6.65602，-4.86281，3.5574,8.1256，-3.9867，4.51706,8.71861，-4.68296，3.78962
8.71861，-4.68296，3.78962,9.17106，-5.22477，2.99777,7.14268，-5.35229，2.75947
8.71861，-4.68296，3.78962,7.14268，-5.35229，2.75947,6.65602，-4.86281，3.5574
9.17106，-5.22477，2.99777,11.7991，-5.14388，3.13467,9.58191，-5.60677，2.20039
7.14268，-5.35229，2.75947,9.17106，-5.22477，2.99777,7.53005，-5.74929，1.8175
7.53005，-5.74929，1.8175,9.17106，-5.22477，2.99777,9.58191，-5.60677，2.20039
7.53005，-5.74929，1.8175,9.58191，-5.60677，2.20039,8.93867，-5.98603，0.79465
7.76054，-5.95705，0.80583,7.81828，-6.01565，-0.297058,7.79868，-7.35007，0.498136
7.62591，-6.54178，1.48911,7.76054，-5.95705，0.80583,7.79868，-7.35007，0.498136
7.62591，-6.54178，1.48911,7.53005，-5.74929，1.8175,7.76054，-5.95705，0.80583
7.53005，-5.74929，1.8175,8.93867，-5.98603，0.79465,7.76054，-5.95705，0.80583
7.76054，-5.95705，0.80583,8.93867，-5.98603，0.79465,7.81828，-6.01565，-0.297058
6.37926，-6.2716，3.91377,6.98905，-5.82084，3.03092,6.92961，-7.28234，3.14529
6.37926，-6.2716，3.91377,6.65602，-4.86281，3.5574,6.98905，-5.82084，3.03092
6.65602，-4.86281，3.5574,7.14268，-5.35229，2.75947,6.98905，-5.82084，3.03092
6.37926，-6.2716，3.91377,6.92961，-7.28234，3.14529,6.30478，-8.5138，3.99737
6.30478，-8.5138，3.99737,6.92961，-7.28234，3.14529,6.95261，-9.99952，3.11959
7.62591，-6.54178，1.48911,7.35684，-7.93752，2.30271,7.34341，-6.08285，2.32603
6.92961，-7.28234，3.14529,7.34341，-6.08285，2.32603,7.35684，-7.93752，2.30271
6.95261，-9.99952，3.11959,7.35684，-7.93752，2.30271,7.4118，-9.99922，2.15331
6.92961，-7.28234，3.14529,7.35684，-7.93752，2.30271,6.95261，-9.99952，3.11959
6.98905，-5.82084，3.03092,7.34341，-6.08285，2.32603,6.92961，-7.28234，3.14529
6.98905，-5.82084，3.03092,7.14268，-5.35229，2.75947,7.34341，-6.08285，2.32603
7.34341，-6.08285，2.32603,7.14268，-5.35229，2.75947,7.53005，-5.74929，1.8175
7.34341，-6.08285，2.32603,7.53005，-5.74929，1.8175,7.62591，-6.54178，1.48911
7.64351，-8.50331，1.42536,7.4118，-9.99922，2.15331,7.35684，-7.93752，2.30271
7.64351，-8.50331，1.42536,7.35684，-7.93752，2.30271,7.62591，-6.54178，1.48911
7.62591，-6.54178，1.48911,7.79868，-7.35007，0.498136,7.64351，-8.50331，1.42536
4.67086，-2.83958，5.29537,5.18354，-3.42289，4.96367,4.79618，-4.90646，5.23658
3.43383，-8.22733，5.80189,4.56442，-6.92805，5.35486,4.55638，-8.77209，5.35524
4.79618，-4.90646，5.23658,5.56494，-5.66028，4.69499,4.56442，-6.92805，5.35486
3.71025，-9.99937，5.70953,3.43383，-8.22733，5.80189,4.55638，-8.77209，5.35524
4.56442，-6.92805，5.35486,5.51954，-7.70674，4.73899,4.55638，-8.77209，5.35524
4.56442，-6.92805，5.35486,5.56494，-5.66028，4.69499,5.51954，-7.70674，4.73899
6.37926，-6.2716，3.91377,5.51954，-7.70674，4.73899,5.56494，-5.66028，4.69499
6.30478，-8.5138，3.99737,5.51954，-7.70674，4.73899,6.37926，-6.2716，3.91377
-6.77708，-6.00586，0.59603,-5.03177，-5.99673，0.636892,-6.83158，-5.98682，-0.77556
-4.00186，-5.80537，1.60029,-5.03177，-5.99673，0.636892,-3.88068，-5.7044，1.95718
-6.77708，-6.00586，0.59603,-3.88068，-5.7044，1.95718,-5.03177，-5.99673，0.636892
-4.19949，-5.99617，0.54449,-4.00186，-5.80537，1.60029,-3.96439，-7.98187，1.76292
-4.19949，-5.99617，0.54449,-5.03177，-5.99673，0.636892,-4.00186，-5.80537，1.60029
-6.98503，-5.73449，1.85631,-3.88068，-5.7044，1.95718,-6.77708，-6.00586，0.59603
-8.19963，-5.9576，0.895889,-6.98503，-5.73449，1.85631,-6.77708，-6.00586，0.59603
-8.19961，-2.84956，5.29795,-7.26495，-2.07258，5.65578,-7.25161，-3.07966，5.17121
-1.33332，-3.16773，5.1288,-0.773766，-4.19486，5.46262,-1.93607，-3.71407，4.71512
-1.57237，-6.5863，4.99268,-2.59231，-5.67432，4.12915,-1.68727，-5.0755，4.90949
-0.773766，-4.19486，5.46262,-1.68727，-5.0755，4.90949,-1.93607，-3.71407，4.71512
-2.89778，-4.71627，3.74666,-2.16382，-3.98378，4.51077,-2.41594，-4.21042，4.28279
-2.41594，-4.21042，4.28279,-2.16382，-3.98378，4.51077,-1.93607，-3.71407，4.71512
-1.33332，-3.16773，5.1288,-1.93607，-3.71407，4.71512,-2.16382，-3.98378，4.51077
-2.41594，-4.21042，4.28279,-1.93607，-3.71407，4.71512,-1.68727，-5.0755，4.90949
-1.68727，-5.0755，4.90949,-2.59231，-5.67432，4.12915,-2.41594，-4.21042，4.28279
-2.41594，-4.21042，4.28279,-2.59231，-5.67432，4.12915,-2.89778，-4.71627，3.74666
-8.19962，-5.76181，-1.74931,-6.83158，-5.98682，-0.77556,-7.26585，-5.66905，-2.04133
-8.19963，-5.31546，-2.81644,-7.26585，-5.66905，-2.04133,-7.26053，-5.17221，-3.0777
-8.19962，-5.76181，-1.74931,-7.26585，-5.66905，-2.04133,-8.19963，-5.31546，-2.81644
-7.26585，-5.66905，-2.04133,-4.82728，-5.71084，-1.96137,-7.26053，-5.17221，-3.0777
-7.26053，-5.17221，-3.0777,-4.82728，-5.71084，-1.96137,-5.17965，-5.12774，-3.1458
-5.17965，-5.12774，-3.1458,-6.48994，-4.55677，-3.93089,-7.26053，-5.17221，-3.0777
4.70443，-2.8666，-5.2803,4.87811，-4.63238，-5.19541,5.11222，-3.32146，-5.02754
-1.69672，5.1706，-4.90238,-0.830999，4.69831，-5.43751,-0.553185，6.46067，-5.55391
-0.690656，2.45789，-5.48932,-0.830999，4.69831，-5.43751,-1.44571，3.2821，-5.05407
1.26927，0.555561，-5.99536,0.98377，-0.64209，-5.98784,2.15288，0.593043，-5.99993
2.15288，0.593043，-5.99993,0.98377，-0.64209，-5.98784,1.87332，-0.349933，-6.01859
4.87811，-4.63238，-5.19541,3.46901，-6.27401，-5.8034,4.57678，-6.58624，-5.35225
3.46901，-6.27401，-5.8034,3.28571，-8.12706，-5.8464,4.57678，-6.58624，-5.35225
8.78305，-0.846449，16.5804,8.48955，-2.15753，18.9994,8.50381，-2.09733，16.3037
8.78305，-0.846449，16.5804,8.80878，-0.58711，18.9998,8.48955，-2.15753，18.9994
3.48362，-6.82099，17.7956,2.14264，-7.03521，18.9988,2.16153，-7.02144，16.3011
4.61844，-6.4271，18.9994,3.48362，-6.82099，17.7956,4.48175，-6.48336，17.1845
8.50381，-2.09733，16.3037,8.48955，-2.15753，18.9994,8.04249，-3.20563，17.944
8.56246，-1.90481，11.1512,8.11189，-3.07414，12.7485,8.13857，-3.01669，10.8144
8.49109，-2.1236，9.99996,8.13857，-3.01669，10.8144,8.09612，-3.08059，10
8.49109，-2.1236，9.99996,8.56246，-1.90481，11.1512,8.13857，-3.01669，10.8144
7.5728，-3.99022，12.2479,8.13857，-3.01669，10.8144,8.11189，-3.07414，12.7485
4.39282，-8.55304，-5.44275,5.61069，-6.9818，-4.68251,4.57678，-6.58624，-5.35225
4.57678，-6.58624，-5.35225,3.28571，-8.12706，-5.8464,4.39282，-8.55304，-5.44275
6.32277，-7.78925，-3.98545,5.61069，-6.9818，-4.68251,5.40243，-8.98695，-4.82703
4.39282，-8.55304，-5.44275,5.40243，-8.98695，-4.82703,5.61069，-6.9818，-4.68251
4.54506，-9.99951，-5.36066,5.40243，-8.98695，-4.82703,4.39282，-8.55304，-5.44275
8.80879，0.585674，-18.9998,8.78302，0.84656，-16.5823,8.80672，-0.652415，-16.7395
-3.10195，6.64337，-3.49666,-2.58678，5.68039，-4.13397,-2.32264，7.38102，-4.38778
-1.44571，3.2821，-5.05407,-0.830999，4.69831，-5.43751,-1.99539，3.7749，-4.66598
-0.830999，4.69831，-5.43751,-1.69672，5.1706，-4.90238,-1.99539，3.7749，-4.66598
-5.12914，6.02658，0.126953,-4.19002，5.98562，-0.621282,-4.20007，6.00179，0.516684
-5.12914，6.02658，0.126953,-6.8298，5.97061，-0.831946,-4.98506，5.90379，-1.18499
-4.98506，5.90379，-1.18499,-4.19002，5.98562，-0.621282,-5.12914，6.02658，0.126953
-5.12914，6.02658，0.126953,-6.76402，6.00199，0.588188,-6.8298，5.97061，-0.831946
-6.76402，6.00199，0.588188,-8.19966，6.02074，-0.310751,-6.8298，5.97061，-0.831946
-4.98506，5.90379，-1.18499,-6.8298，5.97061，-0.831946,-7.02259，5.6533，-2.06944
6.18819，4.38023，-4.10808,6.64066，4.87083，-3.55531,6.38506，6.2636，-3.90743
6.38506，6.2636，-3.90743,7.03093，5.21795，-2.9662,6.92742，7.28331，-3.14909
6.38506，6.2636，-3.90743,6.64066，4.87083，-3.55531,7.03093，5.21795，-2.9662
6.64066，4.87083，-3.55531,7.1926，5.40188，-2.66603,7.03093，5.21795，-2.9662
6.38506，6.2636，-3.90743,6.92742，7.28331，-3.14909,6.29651，8.51881，-4.0083
4.48526，2.66844，-5.38629,5.1457，3.38702，-4.98852,4.76598，4.33375，-5.25122
4.48526，2.66844，-5.38629,3.91318，2.18298，-5.63279,5.1457，3.38702，-4.98852
4.48526，2.66844，-5.38629,3.46867，1.5661，-5.80075,3.91318，2.18298，-5.63279
-1.41906，8.50401，-5.09013,-2.32264，7.38102，-4.38778,-1.54504，6.79488，-5.014
-1.54504，6.79488，-5.014,-2.32264，7.38102，-4.38778,-2.58678，5.68039，-4.13397
-1.54504，6.79488，-5.014,-2.58678，5.68039，-4.13397,-1.69672，5.1706，-4.90238
-1.69672，5.1706，-4.90238,-0.553185，6.46067，-5.55391,-1.54504，6.79488，-5.014
-1.54504，6.79488，-5.014,-0.382301，8.20488，-5.62016,-1.41906，8.50401，-5.09013
-1.54504，6.79488，-5.014,-0.553185，6.46067，-5.55391,-0.382301，8.20488，-5.62016
0.778209，8.04386，-5.94469,-0.553185，6.46067，-5.55391,0.661656，6.28116，-5.9331
-0.553185，6.46067，-5.55391,-0.830999，4.69831，-5.43751,0.661656，6.28116，-5.9331
-0.382301，8.20488，-5.62016,-0.553185，6.46067，-5.55391,0.778209，8.04386，-5.94469
0.596438，4.73475，-5.92116,-0.690656，2.45789，-5.48932,0.639774，3.37486，-5.92334
-0.690656，2.45789，-5.48932,-0.116349，1.96294，-5.69391,0.639774，3.37486，-5.92334
0.639774，3.37486，-5.92334,-0.116349，1.96294，-5.69391,0.740772，1.06398，-5.92838
0.661656，6.28116，-5.9331,-0.830999，4.69831，-5.43751,0.596438，4.73475，-5.92116
-0.830999，4.69831，-5.43751,-0.690656，2.45789，-5.48932,0.596438，4.73475，-5.92116
0.740772，1.06398，-5.92838,1.26927，0.555561，-5.99536,2.09398，2.05916，-6.03173
2.09398，2.05916，-6.03173,1.26927，0.555561，-5.99536,2.15288，0.593043，-5.99993
2.09398，2.05916，-6.03173,2.15288，0.593043，-5.99993,3.46867，1.5661，-5.80075
3.43595，8.36112，-5.80279,3.41028，6.36392，-5.81403,4.56578，8.25118，-5.35078
4.56578，8.25118，-5.35078,3.41028，6.36392，-5.81403,4.57683，6.19255，-5.3483
4.36427，9.99946，-5.44589,3.43595，8.36112，-5.80279,4.56578，8.25118，-5.35078
2.127，8.09693，-6.02648,0.661656，6.28116，-5.9331,2.08754，6.35792，-6.03063
