-11.7398，-21.0816，-48.9867,-14.2599，-19.0552，-48.8278,-8.59199，-19.2341，-48.9792
-8.07631，-22.9252，-48.8775,-11.7398，-21.0816，-48.9867,-8.59199，-19.2341，-48.9792
-13.749，-23.7032，-48.8013,-14.1074，-20.0805，-48.8451,-11.7398，-21.0816，-48.9867
-14.2599，-19.0552，-48.8278,-11.7398，-21.0816，-48.9867,-14.1074，-20.0805，-48.8451
13.9601，-8.68412，-48.8942,12.7375，-5.89742，-48.7403,15.2131，-6.71847，-48.4866
15.2131，-6.71847，-48.4866,15.7705，-8.65384，-48.5585,13.9601，-8.68412，-48.8942
-11.7398，-21.0816，-48.9867,-12.0494，-24.6882，-48.5511,-13.749，-23.7032，-48.8013
12.7375，-5.89742，-48.7403,13.9601，-8.68412，-48.8942,11.8413，-8.09848，-48.7664
-8.07631，-22.9252，-48.8775,-8.59199，-19.2341，-48.9792,-7.05396，-22.0619，-48.471
15.6382，-3.92094，-48.7939,11.5656，-3.81412，-48.6222,15.8916，-2.37636，-48.7941
-10.6277，-22.1385，-48.1166,-11.7398，-21.0816，-48.9867,-8.07631，-22.9252，-48.8775
15.6382，-3.92094，-48.7939,15.8916，-2.37636，-48.7941,17.2149，-3.13577，-48.3627
11.5656，-3.81412，-48.6222,12.6039，-0.719187，-48.5906,15.8916，-2.37636，-48.7941
11.8413，-8.09848，-48.7664,8.78827，-6.35911，-48.5877,12.7375，-5.89742，-48.7403
8.9947，-7.43467，-48.3255,8.78827，-6.35911，-48.5877,11.8413，-8.09848，-48.7664
14.2491，-5.34191，-47.7073,15.2131，-6.71847，-48.4866,12.7375，-5.89742，-48.7403
11.5656，-3.81412，-48.6222,12.7375，-5.89742，-48.7403,8.78827，-6.35911，-48.5877
14.2413，-1.19788，-48.3404,15.8916，-2.37636，-48.7941,12.6039，-0.719187，-48.5906
-14.2442，-20.6716，-48.0307,-14.1074，-20.0805，-48.8451,-13.749，-23.7032，-48.8013
-12.2918，-25.2168，-48.2501,-13.749，-23.7032，-48.8013,-12.0494，-24.6882，-48.5511
-14.2599，-19.0552，-48.8278,-17.5667，-21.5634，-48.7104,-18.289，-18.4203，-48.3789
14.9759，2.58357，-48.5058,16.7972，0.731452，-48.5136,12.6039，-0.719187，-48.5906
-17.5667，-21.5634，-48.7104,-14.2599，-19.0552，-48.8278,-15.2749，-20.6257，-48.0168
14.2413，-1.19788，-48.3404,12.6039，-0.719187，-48.5906,16.7972，0.731452，-48.5136
-7.93592，-24.3361，-48.1792,-8.07631，-22.9252，-48.8775,-7.05396，-22.0619，-48.471
15.6382，-3.92094，-48.7939,14.5812，-4.9395，-48.2157,11.5656，-3.81412，-48.6222
13.9601，-8.68412，-48.8942,12.6176，-9.33265，-48.0279,11.8413，-8.09848，-48.7664
-9.81388，-12.916，-48.1319,-8.59199，-19.2341，-48.9792,-14.2599，-19.0552，-48.8278
-6.71971，-14.889，-48.1941,-8.49017，-16.5828，-48.4949,-8.59199，-19.2341，-48.9792
-8.59199，-19.2341，-48.9792,-9.81388，-12.916，-48.1319,-6.71971，-14.889，-48.1941
14.9759，2.58357，-48.5058,12.6039，-0.719187，-48.5906,10.3575，1.7259，-48.2103
-15.2749，-20.6257，-48.0168,-14.2599，-19.0552，-48.8278,-14.1074，-20.0805，-48.8451
-7.05396，-22.0619，-48.471,-8.59199，-19.2341，-48.9792,-7.7395，-19.4759，-47.3378
16.7972，0.731452，-48.5136,15.9059，-1.24074，-47.9692,14.2413，-1.19788，-48.3404
10.3575，1.7259，-48.2103,12.6039，-0.719187，-48.5906,11.5656，-3.81412，-48.6222
15.6382，-3.92094，-48.7939,17.2149，-3.13577，-48.3627,16.754，-4.23052，-48.0894
-8.07631，-22.9252，-48.8775,-7.93592，-24.3361，-48.1792,-10.6277，-22.1385，-48.1166
-18.289，-18.4203，-48.3789,-17.5667，-21.5634，-48.7104,-19.5148，-21.1854，-48.1648
15.7705，-8.65384，-48.5585,14.8484，-9.29134，-48.0048,13.9601，-8.68412，-48.8942
8.78827，-6.35911，-48.5877,10.3575，1.7259，-48.2103,11.5656，-3.81412，-48.6222
12.7375，-5.89742，-48.7403,11.5656，-3.81412，-48.6222,14.5812，-4.9395，-48.2157
14.2413，-1.19788，-48.3404,15.9059，-1.24074，-47.9692,15.8916，-2.37636，-48.7941
12.6176，-9.33265，-48.0279,13.9601，-8.68412，-48.8942,14.8484，-9.29134，-48.0048
14.9759，2.58357，-48.5058,17.4177，0.947667，-48.034,16.7972，0.731452，-48.5136
-12.0494，-24.6882，-48.5511,-11.7398，-21.0816，-48.9867,-10.6277，-22.1385，-48.1166
14.5812，-4.9395，-48.2157,15.6382，-3.92094，-48.7939,16.754，-4.23052，-48.0894
-16.3724，-14.5247，-48.107,-9.81388，-12.916，-48.1319,-14.2599，-19.0552，-48.8278
-16.3724，-14.5247，-48.107,-14.2599，-19.0552，-48.8278,-18.289，-18.4203，-48.3789
-6.71971，-14.889，-48.1941,-6.38427，-16.0314，-48.0327,-8.49017，-16.5828，-48.4949
14.2491，-5.34191，-47.7073,12.7375，-5.89742，-48.7403,14.5812，-4.9395，-48.2157
-1.82838，43.4787，-47.7403,-0.823493，44.9411，-48.6381,-1.22747，42.6511，-47.8969
10.3575，1.7259，-48.2103,8.78827，-6.35911，-48.5877,4.22103，0.538527，-47.9141
-19.5148，-21.1854，-48.1648,-17.5667，-21.5634，-48.7104,-17.4293，-22.1047，-47.3963
17.2149，-3.13577，-48.3627,15.8916，-2.37636，-48.7941,15.9059，-1.24074，-47.9692
8.78827，-6.35911，-48.5877,8.9947，-7.43467，-48.3255,6.3166，-5.63816，-48.3272
-17.5667，-21.5634，-48.7104,-15.2749，-20.6257，-48.0168,-17.4293，-22.1047，-47.3963
11.1575，2.41818，-47.2268,14.9759，2.58357，-48.5058,10.3575，1.7259，-48.2103
-0.00360295，47.774，-48.3231,0.500559，47.3263，-48.3219,-0.679026，46.1913，-48.0378
10.7565，-8.29328，-46.9659,11.8413，-8.09848，-48.7664,12.6176，-9.33265，-48.0279
6.3166，-5.63816，-48.3272,4.22103，0.538527，-47.9141,8.78827，-6.35911，-48.5877
15.7705，-8.65384，-48.5585,15.0366，-7.71171，-46.8995,14.8484，-9.29134，-48.0048
-0.823493，44.9411，-48.6381,-0.679026，46.1913，-48.0378,-0.130076，45.8791，-47.7118
6.3166，-5.63816，-48.3272,4.57481，-6.70754，-48.2429,2.64638，-3.45679，-47.6934
-14.1074，-20.0805，-48.8451,-14.2442，-20.6716，-48.0307,-15.2749，-20.6257，-48.0168
-14.2189，-22.4512，-47.3546,-14.2442，-20.6716，-48.0307,-13.749，-23.7032，-48.8013
11.8413，-8.09848，-48.7664,10.7565，-8.29328，-46.9659,8.9947，-7.43467，-48.3255
0.500559，47.3263，-48.3219,-0.130076，45.8791，-47.7118,-0.679026，46.1913，-48.0378
-10.6277，-22.1385，-48.1166,-7.93592，-24.3361，-48.1792,-8.73107，-23.4539，-47.1464
-2.38147，41.778，-48.1246,-1.22747，42.6511，-47.8969,-1.83051，40.6636，-47.2977
-6.38427，-16.0314，-48.0327,-7.87132，-17.3569，-47.2821,-8.49017，-16.5828，-48.4949
-14.7455，-9.97787，-47.4422,-9.81388，-12.916，-48.1319,-16.3724，-14.5247，-48.107
-1.22747，42.6511，-47.8969,-2.38147，41.778，-48.1246,-1.82838，43.4787，-47.7403
0.500559，47.3263，-48.3219,-0.00360295，47.774，-48.3231,1.29071，49.509，-48.1867
6.3166，-5.63816，-48.3272,2.64638，-3.45679，-47.6934,4.22103，0.538527，-47.9141
-8.49017，-16.5828，-48.4949,-7.7395，-19.4759，-47.3378,-8.59199，-19.2341，-48.9792
15.2131，-6.71847，-48.4866,15.0366，-7.71171，-46.8995,15.7705，-8.65384，-48.5585
-18.289，-18.4203，-48.3789,-19.5148，-21.1854，-48.1648,-18.4875，-17.9352，-47.703
-10.6277，-22.1385，-48.1166,-11.466，-22.9015，-46.9545,-12.0494，-24.6882，-48.5511
17.4177，0.947667，-48.034,15.9059，-1.24074，-47.9692,16.7972，0.731452，-48.5136
