2，-0.05，0.05,2，-0.05，-0.05,2，0.05，0.05
2，0.05，-0.05,2，0.05，0.05,2，-0.05，-0.05
0.5，0.5，0.5,2，0.05，0.05,0.5，0.5，-0.5
2，0.05，-0.05,0.5，0.5，-0.5,2，0.05，0.05
0.5，-0.5，0.5,2，-0.05，0.05,0.5，0.5，0.5
2，0.05，0.05,0.5，0.5，0.5,2，-0.05，0.05
2，-0.05，-0.05,0.5，-0.5，-0.5,2，0.05，-0.05
0.5，0.5，-0.5,2，0.05，-0.05,0.5，-0.5，-0.5
2，-0.05，0.05,0.5，-0.5，0.5,2，-0.05，-0.05
0.5，-0.5，-0.5,2，-0.05，-0.05,0.5，-0.5，0.5
0，0，0,0.5，-0.5，0.5,0.5，0.5，0.5
0，0，0,0.5，0.5，0.5,0.5，0.5，-0.5
0，0，0,0.5，0.5，-0.5,0.5，-0.5，-0.5
0，0，0,0.5，-0.5，-0.5,0.5，-0.5，0.5
0.5，-0.5，-0.5,0.5，-0.5，0.5,0.5，0.5，-0.5
1，0，0,0.2873，-0，0.9578,0.2873，-0.9578，-0
0.2873，0.9578，0,0.2873，-0，0.9578,1，0，0
0.2873，0，-0.9578,-0.7071，-0.7071，-0,-0.7071，-0，0.7071
-0.7071，0.7071，0,-0.7071，-0.7071，-0,0.2873，0，-0.9578
-0.7071，0.7071，0,0.2873，-0，0.9578,-0.7071，-0.7071，-0
-0.7071，0，-0.7071,0.2873，-0，0.9578,-0.7071，0.7071，0
-0.7071，0，-0.7071,0.2873，-0.9578，-0,0.2873，-0，0.9578
25.2044，58.4839，3.6554,0.2873，-0.9578，-0,-0.7071，0，-0.7071
25.2044，58.4839，3.6554,16.9553，58.4839，-3.6554,0.2873，-0.9578，-0
16.9553，58.4839，3.6555,16.9553，58.4839，-3.6554,25.2044，58.4839，3.6554
25.2044，58.4839，-3.6555,16.9553，58.4839，-3.6554,16.9553，58.4839，3.6555
16.9553，61.0067，-4.6268,16.9553，58.4839，-3.6554,25.2044，58.4839，-3.6555
16.9553，59.0733，-4.2449,16.9553，61.0071，-4.199,16.9553，58.9151，-4.6268
16.9553，58.102，-3.8136,16.9553，61.0071，-4.199,16.9553，59.0733，-4.2449
16.9553，58.102，3.8136,16.9553，59.0733，4.2449,16.9553，58.9151，4.6268
16.9553，61.0067，4.6268,16.9553，59.0733，4.2449,16.9553，58.102，3.8136
-0.7071，0，-0.7071,16.9553，61.0071，4.199,17.4774，61.5288，-4.6268
-0.7071，0.7071，0,16.9553，61.0071，4.199,-0.7071，0，-0.7071
16.9553，58.4839，3.6555,24.6823，61.5288，-4.1793,24.6823，61.5288，-4.6268
25.2044，58.4839，3.6554,24.6823，61.5288，-4.1793,16.9553，58.4839，3.6555
16.9553，58.9151，-4.6268,17.4774，61.5288，-4.1793,16.9553，61.0071，4.199
16.9553，59.0733，-4.2449,16.9553，58.9151，-4.6268,16.9553，61.0071，4.199
0.2873，0，-0.9578,16.9553，59.0733，-4.2449,16.9553，61.0071，4.199
-0.7071，0.7071，0,0.2873，0，-0.9578,16.9553，61.0071，4.199
16.9553，58.9151，4.6268,25.2044，58.4839，-3.6555,16.9553，58.4839，3.6555
16.9553，58.102，3.8136,16.9553，58.9151，4.6268,16.9553，58.4839，3.6555
24.6823，61.5288，4.6268,16.9553，58.102，3.8136,16.9553，58.4839，3.6555
24.6823，61.5288，-4.6268,24.6823，61.5288，4.6268,16.9553，58.4839，3.6555
24.6823，61.5288，-4.1793,-0.7071，0，-0.7071,17.4774，61.5288，-4.6268
25.2044，58.4839，3.6554,-0.7071，0，-0.7071,24.6823，61.5288，-4.1793
17.4774，61.5288，4.1794,17.4774，61.5288，4.6268,24.6823，61.5288，4.1794
25.2044，58.9151，-4.6268,17.4774，61.5288，4.6268,17.4774，61.5288，4.1794
25.2044，58.102，-3.8136,25.2044，58.102，3.8136,25.2044，58.9151，4.6268
25.2044，61.0067，-4.6268,25.2044，58.102，3.8136,25.2044，58.102，-3.8136
25.2044，58.9151，4.6268,25.2044，61.0067，4.6268,24.2573，57.8974，-1.3272
24.2573，56.4205，-1.6535,25.2044，61.0067，4.6268,25.2044，58.9151，4.6268
24.2573，56.4205，-1.6535,24.2573，57.8974，-1.6535,24.2573，56.4205，-1.3272
22.3219，34.8481，6.8379,24.2573，57.8974，-1.6535,24.2573，56.4205，-1.6535
24.2573，56.4205，-1.3272,17.2709，35.1139，6.5721,25.2044，61.0067，4.6268
