7.5041，6.7323，-0.1347,7.4863，6.7323，-0.0684,7.874，6.7323，0
7.874，6.7323，0,7.4863，6.7323，-0.0684,7.4803，6.7323，0
7.874，6.7323，0,7.4803，6.7323，0,7.4863，6.7323，0.0684
7.6209，6.7323，-0.3016,7.5724，6.7323，-0.2531,7.874，6.7323，0
7.874，6.7323，0,7.5724，6.7323，-0.2531,7.5331，6.7323，-0.1969
7.874，6.7323，0,7.5331，6.7323，-0.1969,7.5041，6.7323，-0.1347
7.8057，6.7323，-0.3877,7.7394，6.7323，-0.37,7.874，6.7323，0
7.874，6.7323，0,7.7394，6.7323，-0.37,7.6772，6.7323，-0.341
7.874，6.7323，0,7.6772，6.7323，-0.341,7.6209，6.7323，-0.3016
8.0087，6.7323，-0.37,7.9424，6.7323，-0.3877,7.874，6.7323，0
7.874，6.7323，0,7.9424，6.7323，-0.3877,7.874，6.7323，-0.3937
7.874，6.7323，0,7.874，6.7323，-0.3937,7.8057，6.7323，-0.3877
8.1756，6.7323，-0.2531,8.1271，6.7323，-0.3016,7.874，6.7323，0
7.874，6.7323，0,8.1271，6.7323，-0.3016,8.0709，6.7323，-0.341
7.874，6.7323，0,8.0709，6.7323，-0.341,8.0087，6.7323，-0.37
8.2617，6.7323，-0.0684,8.244，6.7323，-0.1347,7.874，6.7323，0
7.874，6.7323，0,8.244，6.7323，-0.1347,8.215，6.7323，-0.1969
7.874，6.7323，0,8.215，6.7323，-0.1969,8.1756，6.7323，-0.2531
8.244，6.7323，0.1347,8.2617，6.7323，0.0684,7.874，6.7323，0
7.874，6.7323，0,8.2617，6.7323，0.0684,8.2677，6.7323，0
7.874，6.7323，0,8.2677，6.7323，0,8.2617，6.7323，-0.0684
8.1271，6.7323，0.3016,8.1756，6.7323，0.2531,7.874，6.7323，0
7.874，6.7323，0,8.1756，6.7323，0.2531,8.215，6.7323，0.1969
7.874，6.7323，0,8.215，6.7323，0.1969,8.244，6.7323，0.1347
7.9424，6.7323，0.3877,8.0087，6.7323，0.37,7.874，6.7323，0
7.874，6.7323，0,8.0087，6.7323，0.37,8.0709，6.7323，0.341
7.874，6.7323，0,8.0709，6.7323，0.341,8.1271，6.7323，0.3016
7.7394，6.7323，0.37,7.8057，6.7323，0.3877,7.874，6.7323，0
7.874，6.7323，0,7.8057，6.7323，0.3877,7.874，6.7323，0.3937
7.874，6.7323，0,7.874，6.7323，0.3937,7.9424，6.7323，0.3877
7.5724，6.7323，0.2531,7.6209，6.7323，0.3016,7.874，6.7323，0
7.874，6.7323，0,7.6209，6.7323，0.3016,7.6772，6.7323，0.341
7.874，6.7323，0,7.6772，6.7323，0.341,7.7394，6.7323，0.37
7.4863，6.7323，0.0684,7.5041，6.7323，0.1347,7.874，6.7323，0
7.874，6.7323，0,7.5041，6.7323，0.1347,7.5331，6.7323，0.1969
7.874，6.7323，0,7.5331，6.7323，0.1969,7.5724，6.7323，0.2531
2.7007，4.9016，0.983,2.8304，4.9016，0.4991,-0，4.9016，-0
-0，4.9016，-0,2.8304，4.9016，0.4991,2.874，4.9016，-0
-0，4.9016，-0,2.874，4.9016，-0,2.8304，4.9016，-0.4991
1.8474，4.9016，2.2016,2.2016，4.9016，1.8474,-0，4.9016，-0
-0，4.9016，-0,2.2016，4.9016，1.8474,2.489，4.9016，1.437
-0，4.9016，-0,2.489，4.9016，1.437,2.7007，4.9016，0.983
0.4991，4.9016，2.8304,0.983，4.9016，2.7007,-0，4.9016，-0
-0，4.9016，-0,0.983，4.9016，2.7007,1.437，4.9016，2.489
-0，4.9016，-0,1.437，4.9016，2.489,1.8474，4.9016，2.2016
-0.983，4.9016，2.7007,-0.4991，4.9016，2.8304,-0，4.9016，-0
-0，4.9016，-0,-0.4991，4.9016，2.8304,-0，4.9016，2.874
-0，4.9016，-0,-0，4.9016，2.874,0.4991，4.9016，2.8304
-2.2016，4.9016，1.8474,-1.8474，4.9016，2.2016,-0，4.9016，-0
-0，4.9016，-0,-1.8474，4.9016，2.2016,-1.437，4.9016，2.489
-0，4.9016，-0,-1.437，4.9016，2.489,-0.983，4.9016，2.7007
-2.8304，4.9016，0.4991,-2.7007，4.9016，0.983,-0，4.9016，-0
-0，4.9016，-0,-2.7007，4.9016，0.983,-2.489，4.9016，1.437
-0，4.9016，-0,-2.489，4.9016，1.437,-2.2016，4.9016，1.8474
-2.7007，4.9016，-0.983,-2.8304，4.9016，-0.4991,-0，4.9016，-0
-0，4.9016，-0,-2.8304，4.9016，-0.4991,-2.874，4.9016，-0
-0，4.9016，-0,-2.874，4.9016，-0,-2.8304，4.9016，0.4991
-1.8474，4.9016，-2.2016,-2.2016，4.9016，-1.8474,-0，4.9016，-0
-0，4.9016，-0,-2.2016，4.9016，-1.8474,-2.489，4.9016，-1.437
-0，4.9016，-0,-2.489，4.9016，-1.437,-2.7007，4.9016，-0.983
-0.4991，4.9016，-2.8304,-0.983，4.9016，-2.7007,-0，4.9016，-0
-0，4.9016，-0,-0.983，4.9016，-2.7007,-1.437，4.9016，-2.489
-0，4.9016，-0,-1.437，4.9016，-2.489,-1.8474，4.9016，-2.2016
0.983，4.9016，-2.7007,0.4991，4.9016，-2.8304,-0，4.9016，-0
-0，4.9016，-0,0.4991，4.9016，-2.8304,0，4.9016，-2.874
-0，4.9016，-0,0，4.9016，-2.874,-0.4991，4.9016，-2.8304
2.2016，4.9016，-1.8474,1.8474，4.9016，-2.2016,-0，4.9016，-0
-0，4.9016，-0,1.8474，4.9016，-2.2016,1.437，4.9016，-2.489
-0，4.9016，-0,1.437，4.9016，-2.489,0.983，4.9016，-2.7007
2.8304，4.9016，-0.4991,2.7007，4.9016，-0.983,-0，4.9016，-0
-0，4.9016，-0,2.7007，4.9016，-0.983,2.489，4.9016，-1.437
-0，4.9016，-0,2.489，4.9016，-1.437,2.2016，4.9016，-1.8474
-14.3322，3.0543，7.4861,-13.6502，2.3723，7.4861,-14.3322，3.0543，8.5491
-14.3322，3.0543，8.5491,-13.6502，2.3723，7.4861,-13.6502，2.3723，8.5491
-11.7293，5.6573，8.5491,-11.0473，4.9752，8.5491,-11.7293，5.6573，7.4861
-11.7293，5.6573，7.4861,-11.0473，4.9752，8.5491,-11.0473，4.9752，7.4861
-14.3322，3.0543，-8.5491,-13.6502，2.3723，-8.5491,-14.3322，3.0543，-7.4861
-14.3322，3.0543，-7.4861,-13.6502，2.3723，-8.5491,-13.6502，2.3723，-7.4861
-11.7293，5.6573，-7.4861,-11.0473，4.9752，-7.4861,-11.7293，5.6573，-8.5491
-11.7293，5.6573，-8.5491,-11.0473，4.9752，-7.4861,-11.0473，4.9752，-8.5491
7.4803，4.0551，0,7.4863，6.7323，-0.0684,7.4863，4.0551，-0.0684
7.4863，4.0551，-0.0684,7.4863，6.7323，-0.0684,7.5041，6.7323，-0.1347
7.4863，4.0551，-0.0684,7.5041，6.7323，-0.1347,7.5041，4.0551，-0.1347
