-0.109164，0.114581，-0.163523,-0.112842，0.112067，-0.157063,-0.101134，0.116747，-0.161611
-0.10037，0.116747，-0.236426,-0.102664，0.118277，-0.22572,-0.093487，0.124012，-0.229034
-0.023379，-0.112119，-0.451049,-0.026728，-0.11032，-0.442793,-0.027943，-0.107917，-0.449273
-0.020074，-0.110757，-0.447872,-0.026728，-0.11032，-0.442793,-0.023379，-0.112119，-0.451049
-0.018927，-0.113816，-0.437803,-0.019182，-0.11012，-0.434107,-0.026728，-0.11032，-0.442793
-0.026728，-0.11032，-0.442793,-0.020074，-0.110757，-0.447872,-0.018927，-0.113816，-0.437803
-0.013064，-0.113306，-0.43793,-0.019182，-0.11012，-0.434107,-0.018927，-0.113816，-0.437803
-0.020074，-0.110757，-0.447872,-0.015741，-0.105786，-0.444558,-0.018927，-0.113816，-0.437803
-0.018927，-0.113816，-0.437803,-0.015741，-0.105786，-0.444558,-0.013064，-0.113306，-0.43793
-0.03027，-0.081315，-0.423146,-0.026956，-0.074305，-0.411292,-0.033839，-0.066021，-0.413587
-0.027339，-0.100433，-0.436401,-0.026728，-0.11032，-0.442793,-0.019182，-0.11012，-0.434107
-0.029123，-0.094953，-0.447362,-0.027943，-0.107917，-0.449273,-0.026728，-0.11032，-0.442793
-0.027339，-0.100433，-0.436401,-0.029123，-0.094953，-0.447362,-0.026728，-0.11032，-0.442793
0.032692，-0.08807，-0.466097,0.035496，-0.082028，-0.467578,0.041996，-0.088453，-0.462146
0.032692，-0.08807，-0.466097,0.031162，-0.087943，-0.476421,0.035496，-0.082028，-0.467578
0.035241，-0.096865，-0.463676,0.032692，-0.08807，-0.466097,0.041996，-0.088453，-0.462146
0.032692，-0.08807，-0.466097,0.035241，-0.096865，-0.463676,0.027594，-0.092914，-0.461254
0.027594，-0.092914，-0.461254,0.028741，-0.096865，-0.464695,0.032692，-0.08807，-0.466097
0.031417，-0.094825，-0.476294,0.031162，-0.087943，-0.476421,0.032692，-0.08807，-0.466097
0.006181，-0.080806，-0.391665,-0.005228，-0.078436，-0.391778,0.006181，-0.092914，-0.3974
0.045228，-0.027805，-0.330727,0.050485，-0.024703，-0.328216,0.042761，-0.030334，-0.315447
0.015613，-0.056844，-0.349732,0.035113，-0.042697，-0.347948,0.026829，-0.033648，-0.340301
0.026829，-0.033648，-0.340301,0.035113，-0.042697，-0.347948,0.038314，-0.031045，-0.341868
0.035113，-0.042697，-0.347948,0.044163，-0.032501，-0.344379,0.038314，-0.031045，-0.341868
0.045228，-0.027805，-0.330727,0.038314，-0.031045，-0.341868,0.044163，-0.032501，-0.344379
0.0383，-0.059011，-0.358017,0.035113，-0.042697，-0.347948,0.015613，-0.056844，-0.349732
0.022241，-0.067933，-0.355978,0.0383，-0.059011，-0.358017,0.015613，-0.056844，-0.349732
0.005799，-0.104894，-0.45896,0.016505，-0.109228，-0.457813,0.004907，-0.110757，-0.448126
-0.019825，-0.109012，-0.462059,-0.012074，-0.110534，-0.459287,-0.023379，-0.112119，-0.451049
0.003505，-0.102345，-0.455009,0.004907，-0.110757，-0.448126,6.4e-05，-0.106551，-0.454754
0.003505，-0.102345，-0.455009,0.005799，-0.104894，-0.45896,0.004907，-0.110757，-0.448126
0.02377，-0.099031，-0.463293,0.027339，-0.101963，-0.455009,0.01778，-0.102728，-0.463293
0.016505，-0.109228，-0.457813,0.01778，-0.102728，-0.463293,0.027339，-0.101963，-0.455009
0.016505，-0.109228，-0.457813,0.005799，-0.104894，-0.45896,0.01778，-0.102728，-0.463293
0.028741，-0.096865，-0.464695,0.027594，-0.092914，-0.461254,0.02377，-0.099031，-0.463293
0.027594，-0.092914，-0.461254,0.027339，-0.101963，-0.455009,0.02377，-0.099031，-0.463293
-0.000933，-0.108702，-0.462398,0.005553，-0.106718，-0.46872,0.005799，-0.104894，-0.45896
0.01778，-0.102728，-0.463293,0.005799，-0.104894，-0.45896,0.005553，-0.106718，-0.46872
6.4e-05，-0.107826，-0.457813,6.4e-05，-0.106551，-0.454754,-0.004684，-0.109648，-0.457479
-0.000933，-0.108702，-0.462398,-0.004684，-0.109648，-0.457479,-0.012074，-0.110534，-0.459287
-0.004684，-0.109648，-0.457479,-0.000933，-0.108702，-0.462398,6.4e-05，-0.107826，-0.457813
6.4e-05，-0.107826，-0.457813,-0.000933，-0.108702，-0.462398,0.005799，-0.104894，-0.45896
0.005799，-0.104894，-0.45896,0.003505，-0.102345，-0.455009,6.4e-05，-0.107826，-0.457813
6.4e-05，-0.106551，-0.454754,6.4e-05，-0.107826，-0.457813,0.003505，-0.102345，-0.455009
-0.012427，-0.111394，-0.452077,-0.020074，-0.110757，-0.447872,-0.023379，-0.112119，-0.451049
-0.023379，-0.112119，-0.451049,-0.012074，-0.110534，-0.459287,-0.012427，-0.111394，-0.452077
-0.004684，-0.109648，-0.457479,-0.012427，-0.111394，-0.452077,-0.012074，-0.110534，-0.459287
-0.012427，-0.111394，-0.452077,-0.004684，-0.109648，-0.457479,-0.005799，-0.109355，-0.453097
-0.005799，-0.109355，-0.453097,-0.004684，-0.109648，-0.457479,6.4e-05，-0.106551，-0.454754
-0.015741，-0.105786，-0.444558,-0.012427，-0.111394，-0.452077,-0.013064，-0.113306，-0.43793
-0.012427，-0.111394，-0.452077,-0.015741，-0.105786，-0.444558,-0.020074，-0.110757，-0.447872
-0.005799，-0.109355，-0.453097,6.4e-05，-0.106551，-0.454754,0.004907，-0.110757，-0.448126
0.016505，-0.109228，-0.457813,0.014466，-0.115728，-0.445577,0.004907，-0.110757，-0.448126
0.045819，-0.101453，-0.461382,0.050535，-0.085266，-0.45195,0.047986，-0.102473，-0.446979
0.041996，-0.088453，-0.462146,0.050535，-0.085266，-0.45195,0.045819，-0.101453，-0.461382
-0.148292，0.048815，-0.044991,-0.146253，0.043079，-0.041422,-0.136184，0.04856，-0.037471
0.045565，-0.009177，-0.011471,0.045437，-0.003824，-0.017589,0.040084，-0.011981，-0.010706
0.040084，-0.011981，-0.010706,0.05181，-0.024216，0,0.045565，-0.009177，-0.011471
-0.071948，0.227377，-0.008284,-0.101007，0.220495，-0.018353,-0.07934，0.234132，0.003441
-0.006564，0.246622，0.030971,-0.017525，0.243054，0.022304,-0.021476，0.252358，0.055952
0.005289，0.23923，0.011471,-0.017525，0.243054，0.022304,-0.006564，0.246622，0.030971
0.046712，0.226995，0.182896,0.040339，0.236936，0.164542,0.007583，0.218838，0.197935
0.040339，0.236936，0.164542,0.046712，0.226995，0.182896,0.067996，0.234897，0.166582
0.067996，0.234897，0.166582,0.046712，0.226995，0.182896,0.074242，0.220622，0.190925
0.035211，0.176316，0.48526,0.037535，0.175121，0.477823,0.032309，0.179582，0.47897
-0.142684，0.124522，0.19768,-0.128282，0.11662，0.199082,-0.144596，0.117894，0.201631
-0.148547，0.217563，0.00803,-0.148165，0.217818，0.025491,-0.14791，0.228269，0.009432
-0.071693，0.190543，0.104002,-0.075771，0.181494，0.134973,-0.086987，0.187612，0.118022
0.072967，0.08909，0.282819,0.095526，0.102855，0.268162,0.069908，0.101835，0.280525
0.103046，0.091384，0.268672,0.095526，0.102855，0.268162,0.072967，0.08909，0.282819
0.086987，0.113816，0.266633,0.076918，0.114071，0.269309,0.095526，0.102855，0.268162
0.076918，0.114071，0.269309,0.054486，0.112924，0.284604,0.069908，0.101835，0.280525
0.095526，0.102855，0.268162,0.076918，0.114071，0.269309,0.069908，0.101835，0.280525
0.095526，0.102855，0.268162,0.103046，0.091384，0.268672,0.124713，0.102982，0.265613
0.080997，0.051236，0.276319,0.093615，0.039128，0.269309,0.094379，0.052001，0.270711
0.094379，0.052001，0.270711,0.093615，0.039128，0.269309,0.110821，0.050726，0.268035
0.093615，0.039128，0.269309,0.080997，0.051236，0.276319,0.073349，0.021794，0.273515
0.108144，0.02702，0.264211,0.110821，0.050726，0.268035,0.093615，0.039128，0.269309
0.110821，0.050726，0.268035,0.105085，0.065256，0.269437,0.094379，0.052001，0.270711
0.073349，0.021794，0.273515,0.090811，0.021922，0.265741,0.091958，0.027148，0.267142
0.091958，0.027148，0.267142,0.090811，0.021922，0.265741,0.108144，0.02702，0.264211
0.073349，0.021794，0.273515,0.075898，0.006628，0.262809,0.090811，0.021922，0.265741
0.075898，0.006628，0.262809,0.101644，0.001529，0.256564,0.090811，0.021922，0.265741
0.090811，0.021922，0.265741,0.101644，0.001529，0.256564,0.108144，0.02702，0.264211
0.093615，0.039128，0.269309,0.091958，0.027148，0.267142,0.108144，0.02702，0.264211
0.093615，0.039128，0.269309,0.073349，0.021794，0.273515,0.091958，0.027148，0.267142
-0.123566，0.184808，0.314045,-0.132488，0.176651，0.316594,-0.133253，0.179072，0.320546
0.023643，0.040658，-0.493372,0.030015，0.039128，-0.492863,0.018239，0.03369，-0.488841
0.017907，0.036452，-0.495794,0.023643，0.040658，-0.493372,0.018239，0.03369，-0.488841
0.082283，0.02004，-0.454259,0.089536，0.020265，-0.450803,0.087369，0.015677，-0.443666
0.087369，0.015677，-0.443666,0.089536，0.020265，-0.450803,0.095017，0.018863，-0.44392
0.082283，0.02004，-0.454259,0.086095，0.026638，-0.45896,0.089536，0.020265，-0.450803
-0.076536，0.061305，-0.327555,-0.071438，0.053913，-0.339281,-0.063153，0.049707，-0.324497
0.044632，0.206836，-0.321852,0.046684，0.202254，-0.316482,0.050199，0.202377，-0.323572
0.050199，0.202377，-0.323572,0.048712，0.207584，-0.327897,0.044632，0.206836，-0.321852
0.000446，0.169131，-0.306526,0.001976，0.158807，-0.308183,0.012299，0.166709，-0.303977
0.000446，0.169131，-0.306526,0.012299，0.166709，-0.303977,0.00525，0.175438，-0.301339
-0.076408，0.13765，-0.339026,-0.077938，0.133954，-0.328703,-0.070655，0.143857，-0.33269
-0.066467，0.026383，-0.350497,-0.049771，0.015167，-0.332399,-0.060094，0.031354，-0.337879
0.049656，0.169426，-0.361342,0.051173，0.170788，-0.354193,0.053888，0.165662，-0.358976
0.050918，0.167219，-0.334948,0.056398，0.160719，-0.346928,0.051173，0.170788，-0.354193
0.042208，0.145841，-0.321023,0.046457，0.152434，-0.327683,0.037633，0.150249，-0.319363
0.046457，0.152434，-0.327683,0.041614，0.164288，-0.319144,0.037633，0.150249，-0.319363
